I210226 02:17:42.965684 1 util/log/sync_buffer.go:195 ⋮ [config] file created at: 2021/02/26 02:17:42
I210226 02:17:42.965698 1 util/log/sync_buffer.go:195 ⋮ [config] running on machine: ‹Azruls-MacBook-Pro›
I210226 02:17:42.965706 1 util/log/sync_buffer.go:195 ⋮ [config] binary: CockroachDB CCL v20.2.3 (x86_64-apple-darwin14, built 2020/12/14 18:37:58, go1.13.14)
I210226 02:17:42.965711 1 util/log/sync_buffer.go:195 ⋮ [config] arguments: ‹[cockroach start --certs-dir=certs --store=node3 --listen-addr=localhost:26259 --http-addr=localhost:8082 --join=localhost:26257,localhost:26258,localhost:26259]›
I210226 02:17:42.965726 1 util/log/sync_buffer.go:195 ⋮ [config] line format: [IWEF]yymmdd hh:mm:ss.uuuuuu goid file:line msg utf8=✓
W210226 02:17:42.965330 1 cli/start.go:983 ⋮ ‹Using the default setting for --cache (128 MiB).›
‹  A significantly larger value is usually needed for good performance.›
‹  If you have a dedicated server a reasonable setting is --cache=.25 (4.0 GiB).›
I210226 02:17:42.969322 1 cli/start.go:1164 ⋮ ‹CockroachDB CCL v20.2.3 (x86_64-apple-darwin14, built 2020/12/14 18:37:58, go1.13.14)›
I210226 02:17:42.970440 1 server/config.go:434 ⋮ system total memory: ‹16 GiB›
I210226 02:17:42.970469 1 server/config.go:436 ⋮ server configuration:
‹max offset             500000000›
‹cache size             128 MiB›
‹SQL memory pool size   4.0 GiB›
‹scan interval          10m0s›
‹scan min idle time     10ms›
‹scan max idle time     1s›
‹event log enabled      true›
W210226 02:19:12.341696 65 server/init.go:472 ⋮ [n?] ‹localhost:26257› is itself waiting for init, will retry
W210226 02:19:13.337263 65 server/init.go:472 ⋮ [n?] ‹localhost:26258› is itself waiting for init, will retry
W210226 02:19:14.338903 65 server/init.go:472 ⋮ [n?] ‹localhost:26257› is itself waiting for init, will retry
W210226 02:19:15.338297 65 server/init.go:472 ⋮ [n?] ‹localhost:26258› is itself waiting for init, will retry
W210226 02:19:16.337487 65 server/init.go:472 ⋮ [n?] ‹localhost:26257› is itself waiting for init, will retry
W210226 02:19:17.335287 65 server/init.go:472 ⋮ [n?] ‹localhost:26258› is itself waiting for init, will retry
W210226 02:19:18.339791 65 server/init.go:472 ⋮ [n?] ‹localhost:26257› is itself waiting for init, will retry
W210226 02:19:19.338251 65 server/init.go:472 ⋮ [n?] ‹localhost:26258› is itself waiting for init, will retry
W210226 02:19:20.335854 65 server/init.go:472 ⋮ [n?] ‹localhost:26257› is itself waiting for init, will retry
W210226 02:19:21.334920 65 server/init.go:472 ⋮ [n?] ‹localhost:26258› is itself waiting for init, will retry
W210226 02:19:22.337805 65 server/init.go:472 ⋮ [n?] ‹localhost:26257› is itself waiting for init, will retry
W210226 02:19:23.338097 65 server/init.go:472 ⋮ [n?] ‹localhost:26258› is itself waiting for init, will retry
W210226 02:19:24.342154 65 server/init.go:472 ⋮ [n?] ‹localhost:26257› is itself waiting for init, will retry
W210226 02:19:25.340727 65 server/init.go:472 ⋮ [n?] ‹localhost:26258› is itself waiting for init, will retry
W210226 02:19:26.333940 65 server/init.go:472 ⋮ [n?] ‹localhost:26257› is itself waiting for init, will retry
W210226 02:19:27.337992 65 server/init.go:472 ⋮ [n?] ‹localhost:26258› is itself waiting for init, will retry
W210226 02:19:28.338200 65 server/init.go:472 ⋮ [n?] ‹localhost:26257› is itself waiting for init, will retry
W210226 02:19:29.337350 65 server/init.go:472 ⋮ [n?] ‹localhost:26258› is itself waiting for init, will retry
W210226 02:19:30.336924 65 server/init.go:472 ⋮ [n?] ‹localhost:26257› is itself waiting for init, will retry
W210226 02:19:31.341255 65 server/init.go:472 ⋮ [n?] ‹localhost:26258› is itself waiting for init, will retry
W210226 02:19:32.340216 65 server/init.go:472 ⋮ [n?] ‹localhost:26257› is itself waiting for init, will retry
W210226 02:19:33.338841 65 server/init.go:472 ⋮ [n?] ‹localhost:26258› is itself waiting for init, will retry
W210226 02:19:34.339268 65 server/init.go:472 ⋮ [n?] ‹localhost:26257› is itself waiting for init, will retry
W210226 02:19:35.336821 65 server/init.go:472 ⋮ [n?] ‹localhost:26258› is itself waiting for init, will retry
W210226 02:19:36.340521 65 server/init.go:472 ⋮ [n?] ‹localhost:26257› is itself waiting for init, will retry
W210226 02:19:37.342359 65 server/init.go:472 ⋮ [n?] ‹localhost:26258› is itself waiting for init, will retry
W210226 02:19:38.340431 65 server/init.go:472 ⋮ [n?] ‹localhost:26257› is itself waiting for init, will retry
W210226 02:19:39.334398 65 server/init.go:472 ⋮ [n?] ‹localhost:26258› is itself waiting for init, will retry
W210226 02:19:40.334474 65 server/init.go:472 ⋮ [n?] ‹localhost:26257› is itself waiting for init, will retry
W210226 02:19:41.337470 65 server/init.go:472 ⋮ [n?] ‹localhost:26258› is itself waiting for init, will retry
W210226 02:19:42.337075 65 server/init.go:472 ⋮ [n?] ‹localhost:26257› is itself waiting for init, will retry
W210226 02:19:43.336751 65 server/init.go:472 ⋮ [n?] ‹localhost:26258› is itself waiting for init, will retry
W210226 02:19:44.339293 65 server/init.go:472 ⋮ [n?] ‹localhost:26257› is itself waiting for init, will retry
W210226 02:19:45.337808 65 server/init.go:472 ⋮ [n?] ‹localhost:26258› is itself waiting for init, will retry
W210226 02:19:46.341712 65 server/init.go:472 ⋮ [n?] ‹localhost:26257› is itself waiting for init, will retry
W210226 02:19:47.340837 65 server/init.go:472 ⋮ [n?] ‹localhost:26258› is itself waiting for init, will retry
W210226 02:19:48.334582 65 server/init.go:472 ⋮ [n?] ‹localhost:26257› is itself waiting for init, will retry
W210226 02:19:49.340753 65 server/init.go:472 ⋮ [n?] ‹localhost:26258› is itself waiting for init, will retry
W210226 02:19:50.338881 65 server/init.go:472 ⋮ [n?] ‹localhost:26257› is itself waiting for init, will retry
W210226 02:19:51.335564 65 server/init.go:472 ⋮ [n?] ‹localhost:26258› is itself waiting for init, will retry
W210226 02:19:52.337778 65 server/init.go:472 ⋮ [n?] ‹localhost:26257› is itself waiting for init, will retry
W210226 02:19:53.338592 65 server/init.go:472 ⋮ [n?] ‹localhost:26258› is itself waiting for init, will retry
W210226 02:19:54.336627 65 server/init.go:472 ⋮ [n?] ‹localhost:26257› is itself waiting for init, will retry
W210226 02:19:55.336966 65 server/init.go:472 ⋮ [n?] ‹localhost:26258› is itself waiting for init, will retry
